,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Neutron frac,Proton frac,electron frac
0,0.27000000,7.94119300,-2.24796206,4.51473004,210.42693751,43.23831422,43.23831422,0.99139896,0.00860104,0.00860104
1,0.28000000,8.19909932,-2.32905019,4.68194226,212.96061440,44.52804919,44.52804919,0.99094161,0.00905839,0.00905839
2,0.29000000,8.45503031,-2.40994881,4.84915449,215.43260018,45.80903280,45.80903280,0.99047722,0.00952278,0.00952278
3,0.30000000,8.70902968,-2.49065538,5.01636671,217.84635039,47.08153434,47.08153434,0.99000601,0.00999399,0.00999399
4,0.31000000,8.96113950,-2.57116740,5.18357893,220.20501768,48.34580113,48.34580113,0.98952816,0.01047184,0.01047184
5,0.32000000,9.21140024,-2.65148252,5.35079116,222.51148730,49.60206098,49.60206098,0.98904386,0.01095614,0.01095614
6,0.33000000,9.45985090,-2.73159847,5.51800338,224.76840743,50.85052437,50.85052437,0.98855329,0.01144671,0.01144671
7,0.34000000,9.70652907,-2.81151306,5.68521561,226.97821524,52.09138630,52.09138630,0.98805663,0.01194337,0.01194337
8,0.35000000,9.95147099,-2.89122424,5.85242783,229.14315948,53.32482789,53.32482789,0.98755404,0.01244596,0.01244596
9,0.36000000,10.19471164,-2.97072999,6.01964005,231.26532001,54.55101782,54.55101782,0.98704569,0.01295431,0.01295431
10,0.37000000,10.43628476,-3.05002844,6.18685228,233.34662485,55.77011355,55.77011355,0.98653175,0.01346825,0.01346825
11,0.38000000,10.67622296,-3.12911777,6.35406450,235.38886508,56.98226243,56.98226243,0.98601238,0.01398762,0.01398762
12,0.39000000,10.91455775,-3.20799625,6.52127672,237.39370800,58.18760264,58.18760264,0.98548774,0.01451226,0.01451226
13,0.40000000,11.15131958,-3.28666224,6.68848895,239.36270858,59.38626405,59.38626405,0.98495798,0.01504202,0.01504202
14,0.41000000,11.38653791,-3.36511417,6.85570117,241.29731973,60.57836897,60.57836897,0.98442324,0.01557676,0.01557676
15,0.42000000,11.62024125,-3.44335058,7.02291340,243.19890136,61.76403284,61.76403284,0.98388368,0.01611632,0.01611632
16,0.43000000,11.85245718,-3.52137004,7.19012562,245.06872836,62.94336481,62.94336481,0.98333944,0.01666056,0.01666056
17,0.44000000,12.08321242,-3.59917123,7.35733784,246.90799788,64.11646828,64.11646828,0.98279066,0.01720934,0.01720934
18,0.45000000,12.31253287,-3.67675289,7.52455007,248.71783570,65.28344140,65.28344140,0.98223747,0.01776253,0.01776253
19,0.46000000,12.54044362,-3.75411382,7.69176229,250.49930201,66.44437748,66.44437748,0.98168002,0.01831998,0.01831998
20,0.47000000,12.76696898,-3.83125292,7.85897451,252.25339659,67.59936540,67.59936540,0.98111842,0.01888158,0.01888158
21,0.48000000,12.99213256,-3.90816913,8.02618674,253.98106350,68.74848992,68.74848992,0.98055283,0.01944717,0.01944717
22,0.49000000,13.21595724,-3.98486147,8.19339896,255.68319530,69.89183207,69.89183207,0.97998335,0.02001665,0.02001665
23,0.50000000,13.43846525,-4.06132901,8.36061118,257.36063685,71.02946937,71.02946937,0.97941011,0.02058989,0.02058989
24,0.51000000,13.65967817,-4.13757089,8.52782341,259.01418881,72.16147612,72.16147612,0.97883325,0.02116675,0.02116675
25,0.52000000,13.87961695,-4.21358633,8.69503563,260.64461077,73.28792365,73.28792365,0.97825286,0.02174714,0.02174714
26,0.53000000,14.09830195,-4.28937458,8.86224786,262.25262412,74.40888050,74.40888050,0.97766908,0.02233092,0.02233092
27,0.54000000,14.31575296,-4.36493495,9.02946008,263.83891468,75.52441266,75.52441266,0.97708201,0.02291799,0.02291799
28,0.55000000,14.53198921,-4.44026683,9.19667230,265.40413511,76.63458371,76.63458371,0.97649177,0.02350823,0.02350823
29,0.56000000,14.74702942,-4.51536964,9.36388453,266.94890706,77.73945502,77.73945502,0.97589847,0.02410153,0.02410153
30,0.57000000,14.96089178,-4.59024287,9.53109675,268.47382320,78.83908586,78.83908586,0.97530221,0.02469779,0.02469779
31,0.58000000,15.17359401,-4.66488605,9.69830897,269.97944911,79.93353357,79.93353357,0.97470310,0.02529690,0.02529690
32,0.59000000,15.38515334,-4.73929876,9.86552120,271.46632490,81.02285369,81.02285369,0.97410125,0.02589875,0.02589875
33,0.60000000,15.59558655,-4.81348065,10.03273342,272.93496684,82.10710004,82.10710004,0.97349675,0.02650325,0.02650325
34,0.61000000,15.80490998,-4.88743138,10.19994565,274.38586876,83.18632487,83.18632487,0.97288971,0.02711029,0.02711029
35,0.62000000,16.01313956,-4.96115069,10.36715787,275.81950342,84.26057892,84.26057892,0.97228022,0.02771978,0.02771978
36,0.63000000,16.22029079,-5.03463835,10.53437009,277.23632372,85.32991153,85.32991153,0.97166837,0.02833163,0.02833163
37,0.64000000,16.42637880,-5.10789417,10.70158232,278.63676387,86.39437074,86.39437074,0.97105426,0.02894574,0.02894574
38,0.65000000,16.63141832,-5.18091801,10.86879454,280.02124041,87.45400333,87.45400333,0.97043799,0.02956201,0.02956201
39,0.66000000,16.83542372,-5.25370977,11.03600676,281.39015322,88.50885490,88.50885490,0.96981964,0.03018036,0.03018036
40,0.67000000,17.03840901,-5.32626938,11.20321899,282.74388644,89.55896997,89.55896997,0.96919929,0.03080071,0.03080071
41,0.68000000,17.24038788,-5.39859683,11.37043121,284.08280932,90.60439201,90.60439201,0.96857704,0.03142296,0.03142296
42,0.69000000,17.44137365,-5.47069213,11.53764344,285.40727700,91.64516348,91.64516348,0.96795297,0.03204703,0.03204703
43,0.70000000,17.64137935,-5.54255533,11.70485566,286.71763124,92.68132593,92.68132593,0.96732716,0.03267284,0.03267284
44,0.71000000,17.84041769,-5.61418651,11.87206788,288.01420117,93.71292002,93.71292002,0.96669969,0.03330031,0.03330031
45,0.72000000,18.03850108,-5.68558580,12.03928011,289.29730386,94.73998555,94.73998555,0.96607064,0.03392936,0.03392936
46,0.73000000,18.23564164,-5.75675335,12.20649233,290.56724498,95.76256153,95.76256153,0.96544009,0.03455991,0.03455991
47,0.74000000,18.43185119,-5.82768934,12.37370455,291.82431933,96.78068622,96.78068622,0.96480811,0.03519189,0.03519189
48,0.75000000,18.62714132,-5.89839399,12.54091678,293.06881141,97.79439715,97.79439715,0.96417478,0.03582522,0.03582522
49,0.76000000,18.82152332,-5.96886755,12.70812900,294.30099586,98.80373113,98.80373113,0.96354017,0.03645983,0.03645983
50,0.77000000,19.01500823,-6.03911029,12.87534122,295.52113799,99.80872436,99.80872436,0.96290435,0.03709565,0.03709565
51,0.78000000,19.20760686,-6.10912252,13.04255345,296.72949418,100.80941237,100.80941237,0.96226739,0.03773261,0.03773261
52,0.79000000,19.39932975,-6.17890456,13.20976567,297.92631230,101.80583010,101.80583010,0.96162936,0.03837064,0.03837064
53,0.80000000,19.59018723,-6.24845677,13.37697790,299.11183211,102.79801192,102.79801192,0.96099032,0.03900968,0.03900968
54,0.81000000,19.78018940,-6.31777954,13.54419012,300.28628561,103.78599163,103.78599163,0.96035034,0.03964966,0.03964966
55,0.82000000,19.96934612,-6.38687328,13.71140234,301.44989739,104.76980252,104.76980252,0.95970949,0.04029051,0.04029051
56,0.83000000,20.15766708,-6.45573841,13.87861457,302.60288496,105.74947734,105.74947734,0.95906783,0.04093217,0.04093217
57,0.84000000,20.34516171,-6.52437538,14.04582679,303.74545908,106.72504837,106.72504837,0.95842541,0.04157459,0.04157459
58,0.85000000,20.53183928,-6.59278469,14.21303901,304.87782399,107.69654742,107.69654742,0.95778229,0.04221771,0.04221771
59,0.86000000,20.71770885,-6.66096681,14.38025124,306.00017774,108.66400583,108.66400583,0.95713855,0.04286145,0.04286145
60,0.87000000,20.90277928,-6.72892227,14.54746346,307.11271243,109.62745451,109.62745451,0.95649422,0.04350578,0.04350578
61,0.88000000,21.08705927,-6.79665161,14.71467569,308.21561446,110.58692394,110.58692394,0.95584937,0.04415063,0.04415063
62,0.89000000,21.27055730,-6.86415539,14.88188791,309.30906476,111.54244420,111.54244420,0.95520406,0.04479594,0.04479594
63,0.90000000,21.45328173,-6.93143418,15.04910013,310.39323900,112.49404497,112.49404497,0.95455833,0.04544167,0.04544167
64,0.91000000,21.63524070,-6.99848857,15.21631236,311.46830782,113.44175553,113.44175553,0.95391224,0.04608776,0.04608776
65,0.92000000,21.81644222,-7.06531918,15.38352458,312.53443703,114.38560480,114.38560480,0.95326583,0.04673417,0.04673417
66,0.93000000,21.99689412,-7.13192663,15.55073680,313.59178776,115.32562135,115.32562135,0.95261917,0.04738083,0.04738083
67,0.94000000,22.17660408,-7.19831156,15.71794903,314.64051671,116.26183339,116.26183339,0.95197229,0.04802771,0.04802771
68,0.95000000,22.35557963,-7.26447464,15.88516125,315.68077623,117.19426878,117.19426878,0.95132525,0.04867475,0.04867475
69,0.96000000,22.53382815,-7.33041653,16.05237348,316.71271457,118.12295506,118.12295506,0.95067809,0.04932191,0.04932191
70,0.97000000,22.71135688,-7.39613793,16.21958570,317.73647599,119.04791944,119.04791944,0.95003086,0.04996914,0.04996914
71,0.98000000,22.88817290,-7.46163952,16.38679792,318.75220089,119.96918883,119.96918883,0.94938359,0.05061641,0.05061641
72,0.99000000,23.06428318,-7.52692203,16.55401015,319.76002600,120.88678982,120.88678982,0.94873635,0.05126365,0.05126365
73,1.00000000,23.23969455,-7.59198619,16.72122237,320.76008448,121.80074871,121.80074871,0.94808916,0.05191084,0.05191084
74,1.01000000,23.41441369,-7.65683272,16.88843459,321.75250604,122.71109151,122.71109151,0.94744206,0.05255794,0.05255794
75,1.02000000,23.58844719,-7.72146238,17.05564682,322.73741710,123.61784393,123.61784393,0.94679511,0.05320489,0.05320489
76,1.03000000,23.76180148,-7.78587593,17.22285904,323.71494086,124.52103142,124.52103142,0.94614834,0.05385166,0.05385166
77,1.04000000,23.93448288,-7.85007413,17.39007126,324.68519745,125.42067915,125.42067915,0.94550178,0.05449822,0.05449822
78,1.05000000,24.10649762,-7.91405777,17.55728349,325.64830401,126.31681203,126.31681203,0.94485548,0.05514452,0.05514452
79,1.06000000,24.27785178,-7.97782764,17.72449571,326.60437482,127.20945470,127.20945470,0.94420946,0.05579054,0.05579054
80,1.07000000,24.44855134,-8.04138453,17.89170794,327.55352136,128.09863156,128.09863156,0.94356378,0.05643622,0.05643622
81,1.08000000,24.61860218,-8.10472925,18.05892016,328.49585241,128.98436673,128.98436673,0.94291846,0.05708154,0.05708154
82,1.09000000,24.78801006,-8.16786262,18.22613238,329.43147418,129.86668412,129.86668412,0.94227353,0.05772647,0.05772647
83,1.10000000,24.95678065,-8.23078546,18.39334461,330.36049035,130.74560739,130.74560739,0.94162904,0.05837096,0.05837096
84,1.11000000,25.12491951,-8.29349860,18.56055683,331.28300217,131.62115994,131.62115994,0.94098500,0.05901500,0.05901500
85,1.12000000,25.29243211,-8.35600288,18.72776905,332.19910853,132.49336497,132.49336497,0.94034146,0.05965854,0.05965854
86,1.13000000,25.45932381,-8.41829914,18.89498128,333.10890604,133.36224543,133.36224543,0.93969845,0.06030155,0.06030155
87,1.14000000,25.62559988,-8.48038824,19.06219350,334.01248911,134.22782405,134.22782405,0.93905599,0.06094401,0.06094401
88,1.15000000,25.79126551,-8.54227102,19.22940573,334.90995000,135.09012336,135.09012336,0.93841412,0.06158588,0.06158588
89,1.16000000,25.95632579,-8.60394835,19.39661795,335.80137891,135.94916564,135.94916564,0.93777286,0.06222714,0.06222714
90,1.17000000,26.12078571,-8.66542110,19.56383017,336.68686402,136.80497299,136.80497299,0.93713224,0.06286776,0.06286776
91,1.18000000,26.28465021,-8.72669014,19.73104240,337.56649157,137.65756726,137.65756726,0.93649229,0.06350771,0.06350771
92,1.19000000,26.44792411,-8.78775635,19.89825462,338.44034591,138.50697014,138.50697014,0.93585303,0.06414697,0.06414697
